Artist,title,Acousticness,Tempo,Danceability,Energy,Instrumentalness,Speechiness
Johann Sebastian Bach,Ouverture in French Style in B Minor,0.920689,104.33,0.268558,0.407492,0.0155,0.030072
Johann Sebastian Bach,Mer hahn en neue Oberkeet,0.975953,83.973,0.307433,0.052746,0.824094,0.034668
Johann Sebastian Bach,Cello Suite No. 5 in C Minor,0.978438,82.332,0.307654,0.038064,0.8237,0.051134
Johann Sebastian Bach,Goldberg Variations,0.99169,108.199,0.383049,0.332758,0.874443,0.033169
Johann Sebastian Bach,Ach Herr mich armen,0.984188,99.981,0.316161,0.094155,0.001984,0.05122
Pink Floyd,Crumbling Land,0.061705,113.174,0.347044,0.436798,0.00086,0.033279
Pink Floyd,It's What We Do,0.545207,144.668,0.300452,0.337048,0.695478,0.033529
Pink Floyd,Terminal Frost,0.009104,85.672,0.418854,0.645507,0.845706,0.027141
Pink Floyd,HEY YOU,0.182482,118.616,0.342353,0.185308,0.022663,0.03404
Pink Floyd,TBS9,0.270362,131.065,0.222764,0.129859,0.029137,0.034646
The Beatles,Chains,0.227147,133.95,0.561435,0.932518,0,0.04323
The Beatles,THE CONTINUING STORY OF BUNGALOW BILL,0.662455,115.03,0.691662,0.173342,0.859021,0.058353
The Beatles,Former Beatle Pete Best's Mother,0.99502,230.484,0.339801,0.394186,0.010836,0.950584
